"Frequency / Hz","R1:Resistor voltage: Magnitude","R1:Resistor voltage: Phase"
0,16.431998268193531,0
1000,13.432806171567719,1.5332040554037776
2000,5.8005345358833384,1.5388178143036473
3000,3.7681983039057116,1.5480411089925306
4000,2.8008665000565203,1.5533627574380322
5000,2.2313915729664098,1.5567154806787402
6000,1.8552698257474829,1.5590026298450419
7000,1.5880221974270654,1.5606574454780655
8000,1.3882344550912589,1.5619086200474188
9000,1.2331703513724006,1.5628872252101556
10000,1.1092880236168294,1.564284311983986
11000,1.0080312791761052,1.5643193196351151
12000,0.92369269770479823,1.5648597055679947
13000,0.85234303468874062,1.5653194080537458
14000,0.79117261395837279,1.5657167909608338
15000,0.73811332873355273,1.5660667067673604
16000,0.69159207110478604,1.5663837919821599
17000,0.65034422101941813,1.5666906962329419
18000,0.61316052510442431,1.5670621570530145
19000,0.57736896471022725,1.5683741669023317
20000,0.55463225163954721,1.570796326794911
